2026-04-11 22:30:22,776 [INFO] Log: /cis/home/rwang183/my_documents/BDD/SpineDetect-shengwen-branch/SpineDetect/tpm_simulator/pipelines/cloud/logs/downsample/downsample_20260411_223022.log
2026-04-11 22:30:22,777 [INFO] Processing 1 volumes: max-pool -> em/, gaussian-avg -> downsample/
2026-04-11 22:30:22,793 [INFO]   Loading neurons...
2026-04-11 22:30:25,967 [INFO]   neurons loaded: (1024, 512, 512)
2026-04-11 22:30:26,236 [INFO]   neurons [em]: 512x512x1024 -> 512x512x256
2026-04-11 22:30:28,944 [INFO]   neurons [downsample]: 512x512x1024 -> 512x512x256
2026-04-11 22:30:29,929 [INFO]   Loading vessels...
2026-04-11 22:31:21,500 [INFO]   vessels loaded: (1536, 1536, 1536)
2026-04-11 22:31:25,151 [INFO]   vessels [em]: 1536x1536x1536 -> 1536x1536x384
2026-04-11 22:32:12,736 [INFO]   vessels [downsample]: 1536x1536x1536 -> 1536x1536x384
2026-04-11 22:32:24,876 [INFO]   Loading masks...
2026-04-11 22:32:33,320 [INFO]   masks loaded: (1024, 3, 512, 512)
2026-04-11 22:32:36,572 [INFO]   masks [downsample]: 512x512x1024x3 -> 512x512x256x3
2026-04-11 22:32:36,578 [INFO] Done. EM: /cis/home/rwang183/my_documents/BDD/SpineDetect-shengwen-branch/SpineDetect/tpm_simulator/data/train/em, Downsample: /cis/home/rwang183/my_documents/BDD/SpineDetect-shengwen-branch/SpineDetect/tpm_simulator/data/downsample
