2026-04-12 02:25:18,742 [INFO] Log: /cis/home/rwang183/my_documents/BDD/SpineDetect-shengwen-branch/SpineDetect/tpm_simulator/pipelines/cloud/logs/downsample/downsample_20260412_022518.log
2026-04-12 02:25:18,742 [INFO] Processing 1 volumes: max-pool -> em/, gaussian-avg -> downsample/
2026-04-12 02:25:18,756 [INFO]   Loading neurons...
2026-04-12 02:25:22,210 [INFO]   neurons loaded: (1024, 512, 512)
2026-04-12 02:25:22,479 [INFO]   neurons [em]: 512x512x1024 -> 512x512x256
2026-04-12 02:25:25,251 [INFO]   neurons [downsample]: 512x512x1024 -> 512x512x256
2026-04-12 02:25:26,190 [INFO]   Loading vessels...
2026-04-12 02:26:11,785 [INFO]   vessels loaded: (1536, 1536, 1536)
2026-04-12 02:26:15,326 [INFO]   vessels [em]: 1536x1536x1536 -> 1536x1536x384
2026-04-12 02:26:54,992 [INFO]   vessels [downsample]: 1536x1536x1536 -> 1536x1536x384
2026-04-12 02:27:07,227 [INFO]   Loading masks...
2026-04-12 02:27:15,653 [INFO]   masks loaded: (1024, 3, 512, 512)
2026-04-12 02:27:19,503 [INFO]   masks [downsample]: 512x512x1024x3 -> 512x512x256x3
2026-04-12 02:27:19,509 [INFO] Done. EM: /cis/home/rwang183/my_documents/BDD/SpineDetect-shengwen-branch/SpineDetect/tpm_simulator/data/train/em, Downsample: /cis/home/rwang183/my_documents/BDD/SpineDetect-shengwen-branch/SpineDetect/tpm_simulator/data/downsample
